release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-15 15:28:33.761621713	2021-06-15 15:28:34.811677167	1	1050055454	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-15 15:28:34.811684483	2021-06-15 15:28:34.916663729	0	104979246	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1		0	1024	512	1024	100000	256	trial	2021-06-15 15:28:33.761621662	2021-06-15 15:28:34.916665230	1	1155043568	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-15 15:28:35.369442015	2021-06-15 15:28:36.051207502	1	681765487	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-15 15:28:36.051208944	2021-06-15 15:28:36.158960719	0	107751775	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2		0	1024	512	1024	100000	256	trial	2021-06-15 15:28:35.369441955	2021-06-15 15:28:36.158962160	1	789520195	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-15 15:28:36.460443179	2021-06-15 15:28:37.026713424	1	566270245	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-15 15:28:37.026716036	2021-06-15 15:28:37.142790020	0	116073984	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3		0	1024	512	1024	100000	256	trial	2021-06-15 15:28:36.460443119	2021-06-15 15:28:37.142791051	1	682347922	
1.0.0	43194527f7855585a9529eb20e5cab22	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	0		0	1024	512	1024	100000	256	benchmark	2021-06-15 15:28:33.604957735	2021-06-15 15:28:37.142791171	4	3537833436	
