release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:04.883230030	2021-06-22 06:21:05.958183631	1	1074953601	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:05.958189500	2021-06-22 06:21:06.063324864	0	105135374	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:04.883229980	2021-06-22 06:21:06.063326164	1	1180096194	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:06.481511516	2021-06-22 06:21:07.167888677	1	686377151	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:07.167890227	2021-06-22 06:21:07.282012732	0	114122505	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:06.481511466	2021-06-22 06:21:07.282014262	1	800502796	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:07.634694533	2021-06-22 06:21:08.248770185	1	614075652	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:08.248772095	2021-06-22 06:21:08.362267227	0	113495132	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:07.634694463	2021-06-22 06:21:08.362268377	1	727573894	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	0		0	1024	512	1024	100000	256	benchmark	2021-06-22 06:21:04.735108687	2021-06-22 06:21:08.362268507	4	3627159820	
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:15.186222000	2021-06-22 06:21:16.734934000	2	1548712000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:16.735102000	2021-06-22 06:21:17.131779000	0	396677000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:14.912446000	2021-06-22 06:21:17.399735000	2	2487289000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:17.413097000	2021-06-22 06:21:18.941266000	2	1528169000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:18.941506000	2021-06-22 06:21:19.358011000	0	416505000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:17.399919000	2021-06-22 06:21:19.610336000	2	2210417000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:19.625595000	2021-06-22 06:21:21.095330000	1	1469735000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:21.095510000	2021-06-22 06:21:21.490134000	0	394624000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:19.610567000	2021-06-22 06:21:21.776677000	2	2166110000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	0		0	1024	512	1024	100000	256	benchmark	2021-06-22 06:21:14.025917000	2021-06-22 06:21:21.785489000	8	7759572000
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:27.196853798	2021-06-22 06:21:28.916810158	2	1719966870
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:28.917762412	2021-06-22 06:21:29.127551607	0	209794735
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	1		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:27.174078957	2021-06-22 06:21:29.393527723	2	2219452606
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:29.407929160	2021-06-22 06:21:30.984786780	2	1576864020
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:30.985548595	2021-06-22 06:21:31.195604210	0	210044375
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	2		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:29.394153267	2021-06-22 06:21:31.487671042	2	2093535476
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:31.502876179	2021-06-22 06:21:33.037652366	2	1534788477
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:33.038106751	2021-06-22 06:21:33.248711824	0	210636373
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	3		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:31.488173847	2021-06-22 06:21:33.491539150	2	2003379844
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Java 16.0.1	Oracle JDBC (Version 21.1.0.0.0)	0		0	1024	512	1024	100000	256	benchmark	2021-06-22 06:21:25.901591764	2021-06-22 06:21:33.500237333	8	7597987428
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:53.817932181	2021-06-22 06:21:55.457438437	2	1639503125
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:55.459198872	2021-06-22 06:21:55.665382246	0	206189263
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:53.796848889	2021-06-22 06:21:55.965758527	2	2168910649
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:55.979592505	2021-06-22 06:21:57.536884745	2	1557298461
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:57.537408673	2021-06-22 06:21:57.721114515	0	183720492
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	2		0	1024	512	1024	100000	256	trial	2021-06-22 06:21:55.966421098	2021-06-22 06:21:57.984553002	2	2018146564
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:21:58.001340849	2021-06-22 06:21:59.753006733	2	1751666233
1.0.0	c1cae0007778deeee2a889ba14bd1d53	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:21:59.753400826	2021-06-22 06:21:59.942941002	0	189566586
