release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:40:37.137083014	2021-06-22 06:40:38.208397624	1	1071314600	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:40:38.208406250	2021-06-22 06:40:38.333217442	0	124811202	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	1		0	1024	512	1024	100000	256	trial	2021-06-22 06:40:37.137082964	2021-06-22 06:40:38.333219081	1	1196136117	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:40:38.770021229	2021-06-22 06:40:39.616194417	1	846173178	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:40:39.616195966	2021-06-22 06:40:39.728171664	0	111975698	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	2		0	1024	512	1024	100000	256	trial	2021-06-22 06:40:38.770021179	2021-06-22 06:40:39.728172784	1	958151605	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-22 06:40:40.120463825	2021-06-22 06:40:40.751830220	1	631366395	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-22 06:40:40.751831919	2021-06-22 06:40:40.857133182	0	105301263	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	3		0	1024	512	1024	100000	256	trial	2021-06-22 06:40:40.120463735	2021-06-22 06:40:40.857134801	1	736671066	
1.0.0	c44593f4f1e522771ff16b7c943c8af8	Standard series (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.3	0		0	1024	512	1024	100000	256	benchmark	2021-06-22 06:40:36.994303379	2021-06-22 06:40:40.857134961	4	3862831592	
