release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:38.429349000	2021-06-14 16:50:40.292554000	2	1863205000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:40.292834000	2021-06-14 16:50:40.645736000	0	352902000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	1		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:38.355973000	2021-06-14 16:50:41.013318000	3	2657345000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:41.025588000	2021-06-14 16:50:42.399069000	1	1373481000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:42.399268000	2021-06-14 16:50:42.726470000	0	327202000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	2		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:41.013513000	2021-06-14 16:50:42.987107000	2	1973594000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3	INSERT INTO ora_bench_table (key, data) VALUES (:1, :2)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:43.002140000	2021-06-14 16:50:44.422364000	1	1420224000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:44.422592000	2021-06-14 16:50:44.816963000	0	394371000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	3		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:42.987323000	2021-06-14 16:50:45.056153000	2	2068830000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Python 3 3.10.0b2 (default, Jun 13 2021, 13:52:49) [GCC 10.2.0]	Oracle cx_Oracle (Version v8.2.1)	0		0	1024	512	1024	100000	256	benchmark	2021-06-14 16:50:37.466176000	2021-06-14 16:50:45.064014000	8	7597838000
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:50.551616269	2021-06-14 16:50:51.252743608	1	701127339	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:51.252750248	2021-06-14 16:50:51.352456965	0	99706717	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	1		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:50.551616229	2021-06-14 16:50:51.352457985	1	800841756	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:51.648028372	2021-06-14 16:50:52.256393706	1	608365334	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:52.256394846	2021-06-14 16:50:52.359480017	0	103085171	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	2		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:51.648028332	2021-06-14 16:50:52.359481167	1	711452835	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-14 16:50:52.641624070	2021-06-14 16:50:53.189062973	1	547438903	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:50:53.189064103	2021-06-14 16:50:53.296988160	0	107924057	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	3		0	1024	512	1024	100000	256	trial	2021-06-14 16:50:52.641624010	2021-06-14 16:50:53.296989130	1	655365120	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Go go1.16.5	godror v0.25.2	0		0	1024	512	1024	100000	256	benchmark	2021-06-14 16:50:50.468083578	2021-06-14 16:50:53.296989250	3	2828905672	
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	512	1024	100000	256	query	2021-06-14 16:51:13.150698307	2021-06-14 16:51:14.741689325	2	1590996377
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1	SELECT key, data FROM ora_bench_table	0	1024	512	1024	100000	256	query	2021-06-14 16:51:14.742974188	2021-06-14 16:51:14.931417783	0	188452505
1.0.0	e1a535c2aa3ea0392e448dcc4318f65d	Standard tests (locally)	ubuntu	8	amd64 / Linux / 5.8.0-55-generic	walter	db_18_4_xe	Kotlin 1.4.32	Oracle JDBC (Version 21.1.0.0.0)	1		0	1024	512	1024	100000	256	trial	2021-06-14 16:51:12.873797144	2021-06-14 16:51:15.191115191	2	2317318877
