release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-12 04:51:26.700000000	2021-10-12 04:51:32.490000000	6	5790000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-12 04:51:32.490000000	2021-10-12 04:51:34.301000000	2	1811000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1		0	1024	0	1024	100000	0	trial	2021-10-12 04:51:26.630000000	2021-10-12 04:51:35.968000000	9	9338000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-12 04:51:35.993000000	2021-10-12 04:51:40.759000000	5	4766000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-12 04:51:40.759000000	2021-10-12 04:51:42.622000000	2	1863000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2		0	1024	0	1024	100000	0	trial	2021-10-12 04:51:35.973000000	2021-10-12 04:51:44.129000000	9	8156000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-12 04:51:44.148000000	2021-10-12 04:51:48.363000000	4	4215000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-12 04:51:48.363000000	2021-10-12 04:51:50.259000000	2	1896000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3		0	1024	0	1024	100000	0	trial	2021-10-12 04:51:44.129000000	2021-10-12 04:51:51.708000000	7	7579000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	4	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-12 04:51:51.725000000	2021-10-12 04:51:56.726000000	5	5001000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	4	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-12 04:51:56.726000000	2021-10-12 04:51:58.602000000	2	1876000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	4		0	1024	0	1024	100000	0	trial	2021-10-12 04:51:51.708000000	2021-10-12 04:52:00.148000000	9	8440000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	5	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-12 04:52:00.168000000	2021-10-12 04:52:05.232000000	5	5064000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	5	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-12 04:52:05.232000000	2021-10-12 04:52:07.156000000	2	1924000000
1.1.0	ca13306e1608c5bc46d43625acdb979f	Release	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	walte	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	5		0	1024	0	1024	100000	0	trial	2021-10-12 04:52:00.151000000	2021-10-12 04:52:08.593000000	8	8442000000
