release	benchmark id	benchmark comment	host name	no. cores	os	user name	database	language	driver	trial no.	SQL statement	core multiplier	fetch size	transaction size	bulk length	bulk size	batch size	action	start day time	end day time	duration (sec)	duration (ns)
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-28 12:06:16.228774000	2021-10-28 12:06:18.501294000	2	2272520000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-28 12:06:18.501592000	2021-10-28 12:06:19.089403000	1	587811000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	1		0	1024	0	1024	100000	0	trial	2021-10-28 12:06:16.138817000	2021-10-28 12:06:19.491670000	3	3352853000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-28 12:06:19.527364000	2021-10-28 12:06:21.296022000	2	1768658000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-28 12:06:21.296239000	2021-10-28 12:06:21.940841000	0	644602000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	2		0	1024	0	1024	100000	0	trial	2021-10-28 12:06:19.496689000	2021-10-28 12:06:22.227236000	3	2730547000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-28 12:06:22.246071000	2021-10-28 12:06:23.982393000	1	1736322000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3	SELECT key, data FROM ora_bench_table	0	1024	0	1024	100000	0	query	2021-10-28 12:06:23.982571000	2021-10-28 12:06:24.589013000	1	606442000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	3		0	1024	0	1024	100000	0	trial	2021-10-28 12:06:22.227447000	2021-10-28 12:06:24.861227000	2	2633780000
1.1.0	e5f9c1ed4e90f61998ed731a0930ecad	Release	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	walter	db_21_3_ee	Elixir 1.12.3	oranif (Version 0.2.3)	4	INSERT INTO ora_bench_table (key, data) VALUES (:key, :data)	0	1024	0	1024	100000	0	query	2021-10-28 12:06:24.873403000	2021-10-28 12:06:26.668931000	2	1795528000
